"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"9253","female","Hispana","some high school","none","divorced","never",1,1,0,"< 5",54,63,64,60
"9254","female","Americana","some college","completed","married","sometimes",0,0,0,"5 - 10",43,57,58,53
"9256","male","Caucásica","master's degree","none","single","regularly",0,1,0,"< 5",81,78,75,78
"9257","male","Asiática","associate's degree","none","divorced","regularly",1,1,1,"5 - 10",67,57,52,59
"9259","female","Americana","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",45,59,61,55
"9261","female","Negra","some college","none","married","regularly",1,1,0,"5 - 10",50,72,70,64
"9262","male","Asiática","some college","completed","divorced","sometimes",0,1,0,"5 - 10",77,67,70,71
"9265","female","Hispana","some college","none","married","sometimes",0,1,1,"5 - 10",47,61,58,55
"9266","female","Negra","high school","completed","married","sometimes",0,1,0,"< 5",61,65,68,65
"9267","female","Asiática","some college","none","single","regularly",1,1,0,"> 10",73,72,74,73
"9269","female","Negra","some high school","none","single","sometimes",0,1,1,"< 5",13,16,17,15
"9270","male","Asiática","bachelor's degree","none","married","regularly",0,1,0,"5 - 10",84,88,77,83
"9272","male","Asiática","some high school","none","married","sometimes",0,1,0,"5 - 10",52,54,46,51
"9274","male","Hispana","high school","completed","divorced","sometimes",1,1,1,"< 5",83,75,71,76
"9276","male","Americana","associate's degree","none","married","regularly",0,1,1,"5 - 10",53,39,37,43
"9278","male","Caucásica","high school","none","single","never",0,1,0,"5 - 10",80,72,70,74
"9279","male","Asiática","some high school","completed","married","regularly",0,1,1,"> 10",75,58,61,65
"9280","female","Negra","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",82,95,82,86
"9281","male","Hispana","some college","none","married","sometimes",0,1,1,"> 10",62,62,56,60
"9283","male","Negra","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",83,80,75,79
"9284","female","Negra","associate's degree","none","single","sometimes",0,1,0,"< 5",60,74,76,70
"9287","male","Hispana","some college","completed","single","sometimes",0,1,0,"5 - 10",65,61,61,62
"9289","female","Caucásica","some high school","none","divorced","regularly",0,1,1,"< 5",86,81,82,83
"9290","male","Negra","bachelor's degree","none","married","regularly",0,0,1,"< 5",93,79,80,84
"9291","male","Asiática","high school","none","married","regularly",0,0,1,"5 - 10",60,62,51,58
"9292","female","Americana","some college","completed","single","sometimes",1,1,0,"< 5",56,76,72,68
"9294","female","Negra","associate's degree","completed","divorced","never",1,1,0,"5 - 10",57,61,64,61
"9297","male","Asiática","associate's degree","completed","single","sometimes",1,1,0,"5 - 10",84,86,89,86
"9298","female","Asiática","some college","none","single","sometimes",0,1,0,"5 - 10",67,82,77,75
"9299","female","Americana","associate's degree","none","married","never",1,1,0,"> 10",72,73,83,76
"9300","male","Americana","some college","completed","married","regularly",1,1,1,"< 5",75,68,73,72
"9304","male","Hispana","associate's degree","completed","widowed","never",1,1,1,"5 - 10",88,79,78,82
"9307","male","Asiática","high school","none","married","sometimes",1,1,1,"5 - 10",80,67,62,70
"9308","female","Asiática","some high school","none","married","regularly",0,1,1,"< 5",53,73,69,65
"9309","male","Asiática","high school","completed","divorced","never",0,1,0,"< 5",77,71,70,73
"9310","female","Asiática","some college","none","married","sometimes",1,1,0,"5 - 10",87,94,90,90
"9311","female","Asiática","some college","none","married","sometimes",0,1,0,"< 5",64,72,67,68
"9312","male","Asiática","master's degree","completed","married","sometimes",0,1,0,"> 10",83,82,86,84
"9313","female","Asiática","high school","completed","single","sometimes",1,1,0,"5 - 10",71,82,82,78
"9316","male","Asiática","some high school","none","married","regularly",0,1,1,"5 - 10",59,55,56,57
"9317","male","Hispana","high school","completed","married","sometimes",1,1,0,"> 10",74,72,73,73
"9319","male","Hispana","some college","completed","widowed","never",0,1,0,"5 - 10",85,82,80,82
"9320","female","Asiática","high school","completed","married","sometimes",0,0,0,"5 - 10",72,85,86,81
"9321","female","Asiática","associate's degree","none","single","never",0,1,0,"5 - 10",68,64,65,66
"9323","male","Hispana","associate's degree","completed","single","sometimes",0,0,0,"5 - 10",64,62,67,64
"9325","female","Hispana","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",75,84,83,81
"9326","male","Asiática","master's degree","none","married","regularly",0,1,1,"> 10",58,57,53,56
"9327","female","Negra","associate's degree","none","married","regularly",1,1,0,"5 - 10",67,86,80,78
"9329","male","Asiática","some high school","none","married","regularly",1,1,0,"< 5",77,82,81,80
"9331","female","Hispana","associate's degree","none","divorced","sometimes",0,1,1,"> 10",45,65,64,58
"9333","female","Negra","associate's degree","none","divorced","sometimes",0,1,1,"< 5",84,90,94,89
"9334","female","Asiática","some college","none","single","regularly",1,1,0,"> 10",43,47,46,45
"9336","male","Negra","some college","completed","married","sometimes",0,1,1,"> 10",70,72,73,72
"9337","female","Hispana","some college","none","married","sometimes",0,1,0,"< 5",72,82,89,81
"9338","female","Asiática","master's degree","completed","married","sometimes",0,1,1,"5 - 10",70,87,89,82
"9342","female","Americana","some college","completed","single","sometimes",0,1,0,"5 - 10",70,86,86,81
"9344","male","Negra","master's degree","none","married","sometimes",1,1,1,"> 10",87,79,75,80
"9345","female","Hispana","some college","none","married","never",0,1,0,"< 5",80,86,82,83
"9346","female","Asiática","master's degree","none","married","sometimes",0,1,0,"> 10",84,90,95,90
"9348","female","Asiática","some college","none","married","sometimes",1,1,1,"< 5",60,78,74,71
"9352","male","Asiática","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",55,58,56,56
"9353","female","Asiática","associate's degree","none","single","regularly",0,1,0,"< 5",53,74,70,66
"9354","male","Caucásica","some college","none","single","regularly",1,1,0,"< 5",96,90,89,92
"9355","male","Hispana","some college","none","single","regularly",0,0,0,"5 - 10",41,39,34,38
"9357","female","Hispana","high school","completed","single","sometimes",0,1,0,"< 5",74,83,87,81
"9359","male","Caucásica","high school","completed","married","regularly",1,1,1,"< 5",53,50,51,51
"9360","male","Asiática","high school","completed","divorced","sometimes",0,1,0,"5 - 10",75,73,72,73
"9361","female","Asiática","associate's degree","completed","married","sometimes",0,1,1,"5 - 10",48,54,59,54
"9363","female","Asiática","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",50,56,55,54
"9365","male","Negra","high school","none","married","never",0,0,1,"> 10",65,52,44,54
"9366","male","Hispana","bachelor's degree","completed","single","regularly",1,1,1,"5 - 10",89,82,87,86
"9367","female","Hispana","bachelor's degree","none","single","never",0,1,1,"< 5",44,56,48,49
"9368","male","Asiática","some college","none","married","sometimes",0,1,0,"5 - 10",54,60,59,58
"9369","female","Negra","some college","none","married","regularly",0,0,0,"5 - 10",41,57,59,52
"9375","male","Hispana","high school","none","single","sometimes",0,1,0,"5 - 10",57,54,51,54
"9376","male","Negra","some college","none","married","regularly",1,1,1,"5 - 10",60,51,47,53
"9378","female","Hispana","some college","completed","married","sometimes",1,1,0,"5 - 10",67,81,80,76
"9380","female","Hispana","some college","none","married","regularly",1,1,1,"> 10",96,100,99,98
"9381","male","Hispana","some high school","none","single","regularly",0,1,0,"5 - 10",48,51,43,47
"9383","male","Asiática","high school","none","divorced","sometimes",1,1,1,"5 - 10",87,88,83,86
"9384","male","Hispana","some college","completed","married","never",0,1,0,"< 5",94,95,95,95
"9385","female","Caucásica","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",72,72,68,71
"9387","female","Caucásica","some college","none","single","sometimes",0,1,0,"5 - 10",72,75,76,74
"9389","male","Asiática","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",90,95,96,94
"9391","female","Caucásica","associate's degree","none","divorced","never",0,1,1,"5 - 10",64,55,54,58
"9394","male","Asiática","high school","completed","single","regularly",0,1,1,"< 5",85,83,86,85
"9395","male","Asiática","associate's degree","completed","married","sometimes",0,1,1,"< 5",64,75,68,69
"9398","female","Hispana","some college","none","divorced","never",0,1,0,"5 - 10",72,71,74,72
"9400","male","Asiática","associate's degree","none","single","sometimes",0,1,1,"< 5",65,51,61,59
"9401","female","Caucásica","associate's degree","none","married","sometimes",0,1,0,"5 - 10",100,99,95,98
"9402","female","Hispana","some high school","none","married","sometimes",1,1,0,"> 10",43,56,56,52
"9403","female","Asiática","some high school","none","married","sometimes",0,1,1,"< 5",45,52,47,48
"9404","male","Asiática","associate's degree","none","single","sometimes",0,1,0,"< 5",56,59,58,58
"9405","female","Asiática","some college","none","single","regularly",1,1,0,"5 - 10",40,49,49,46
"9406","female","Asiática","some high school","completed","single","regularly",0,1,1,"5 - 10",65,79,86,77
"9408","male","Hispana","associate's degree","none","married","regularly",0,1,0,"> 10",60,50,47,52
"9409","female","Asiática","high school","none","married","sometimes",1,1,1,"< 5",57,59,58,58
"9411","female","Hispana","master's degree","completed","divorced","regularly",0,1,1,"5 - 10",78,91,100,90
"9412","male","Negra","high school","none","married","sometimes",1,1,0,"5 - 10",66,71,63,67
"9413","male","Asiática","some college","completed","single","regularly",1,1,0,"5 - 10",81,78,80,80
"9416","male","Asiática","some college","none","divorced","never",0,1,1,"5 - 10",53,43,42,46
"9417","male","Negra","some high school","none","single","sometimes",1,1,1,"< 5",34,31,31,32
"9419","male","Negra","some high school","none","married","regularly",0,1,0,"< 5",83,76,73,77
"9421","male","Hispana","some college","completed","married","regularly",0,0,1,"> 10",71,60,73,68
"9423","female","Asiática","bachelor's degree","none","single","regularly",0,1,0,"5 - 10",78,81,88,82
"9424","female","Asiática","some college","none","married","sometimes",0,1,0,"> 10",85,92,93,90
"9425","male","Asiática","some high school","none","single","sometimes",1,1,1,"> 10",84,86,82,84
"9427","male","Hispana","associate's degree","none","married","regularly",0,1,1,"5 - 10",64,58,60,61
"9429","female","Hispana","bachelor's degree","completed","single","sometimes",0,1,1,"5 - 10",79,86,93,86
"9430","female","Caucásica","some high school","completed","widowed","sometimes",0,1,0,"> 10",87,82,90,86
"9431","female","Negra","some high school","completed","married","sometimes",0,1,0,"5 - 10",67,75,81,74
"9432","male","Negra","associate's degree","none","married","sometimes",0,1,0,"5 - 10",44,39,39,41
"9433","female","Negra","associate's degree","completed","single","regularly",0,1,0,"> 10",74,82,87,81
"9434","female","Asiática","bachelor's degree","completed","married","sometimes",1,1,0,"5 - 10",75,83,88,82
"9435","male","Negra","associate's degree","none","single","sometimes",0,1,1,"5 - 10",71,68,68,69
"9436","male","Hispana","some high school","none","married","regularly",1,1,1,"5 - 10",59,53,49,54
"9437","male","Asiática","associate's degree","completed","married","sometimes",0,0,0,"5 - 10",69,66,70,68
"9438","female","Asiática","master's degree","none","married","never",0,1,1,"5 - 10",67,81,79,76
"9439","male","Caucásica","some high school","completed","married","never",1,1,1,"5 - 10",48,53,44,48
"9442","male","Negra","high school","completed","married","regularly",0,1,0,"5 - 10",58,55,48,54
"9445","male","Hispana","high school","none","divorced","sometimes",0,1,0,"5 - 10",55,55,55,55
"9447","male","Asiática","associate's degree","completed","divorced","sometimes",0,1,0,"5 - 10",98,90,95,94
"9449","male","Negra","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",45,48,43,45
"9450","male","Negra","associate's degree","none","married","never",1,1,0,"5 - 10",57,55,43,52
"9451","female","Hispana","some high school","completed","divorced","regularly",1,1,0,"< 5",58,86,82,75
"9453","male","Negra","high school","none","single","sometimes",0,0,0,"< 5",70,61,61,64
"9455","female","Hispana","some high school","none","married","regularly",0,1,0,"< 5",52,64,56,57
"9457","female","Hispana","associate's degree","completed","married","regularly",0,1,0,"< 5",70,78,87,78
"9458","female","Negra","some college","completed","married","never",1,1,0,"5 - 10",69,80,80,76
"9459","male","Hispana","high school","completed","divorced","sometimes",0,1,0,"5 - 10",72,72,61,68
"9460","male","Hispana","some high school","none","married","regularly",0,1,0,"5 - 10",54,45,45,48
"9462","male","Americana","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",78,82,76,79
"9463","female","Caucásica","associate's degree","none","divorced","never",0,0,1,"5 - 10",53,66,67,62
"9464","male","Hispana","associate's degree","completed","married","sometimes",0,1,1,"< 5",64,54,55,58
"9469","female","Caucásica","associate's degree","none","single","sometimes",0,1,0,"5 - 10",74,90,85,83
"9470","male","Asiática","master's degree","none","single","regularly",0,1,1,"5 - 10",69,77,68,71
"9472","male","Negra","bachelor's degree","none","married","sometimes",0,1,0,"> 10",100,86,88,91
"9473","male","Negra","some high school","none","married","regularly",1,1,1,"< 5",85,77,74,79
"9474","female","Caucásica","associate's degree","completed","married","regularly",0,1,1,"5 - 10",91,85,90,89
"9475","female","Hispana","some high school","completed","married","sometimes",0,1,0,"< 5",54,60,67,60
"9478","male","Americana","high school","none","divorced","sometimes",0,0,0,"5 - 10",91,84,75,83
"9479","female","Asiática","some college","none","married","regularly",1,1,1,"5 - 10",82,81,90,84
"9481","male","Asiática","associate's degree","none","married","regularly",0,1,0,"5 - 10",74,60,58,64
"9483","male","Hispana","some college","none","married","sometimes",0,1,0,"> 10",71,68,67,69
"9486","male","Negra","some college","completed","married","sometimes",0,0,1,"> 10",82,64,69,72
"9487","female","Asiática","some college","none","married","sometimes",0,1,0,"5 - 10",40,55,46,47
"9488","male","Asiática","associate's degree","none","married","never",0,0,0,"5 - 10",85,82,79,82
"9490","female","Negra","some high school","none","divorced","sometimes",1,1,0,"< 5",30,41,43,38
"9491","male","Caucásica","master's degree","none","single","never",0,1,1,"5 - 10",78,77,76,77
"9492","male","Hispana","some college","completed","single","sometimes",0,1,0,"5 - 10",70,76,71,72
"9493","female","Asiática","high school","none","married","sometimes",0,1,0,"5 - 10",64,72,69,68
"9495","male","Hispana","associate's degree","completed","married","regularly",0,1,1,"5 - 10",83,74,80,79
"9496","female","Hispana","bachelor's degree","completed","single","sometimes",0,0,1,"> 10",71,66,73,70
"9497","female","Americana","some college","completed","divorced","never",0,1,0,"> 10",55,64,64,61
"9498","male","Hispana","high school","none","married","sometimes",0,1,0,"< 5",55,56,49,53
"9500","female","Americana","associate's degree","none","married","sometimes",1,1,0,"5 - 10",71,68,65,68
"9502","male","Negra","some college","none","married","regularly",1,1,1,"> 10",67,67,65,66
"9504","male","Negra","high school","none","divorced","regularly",1,1,0,"5 - 10",50,45,45,47
"9507","female","Hispana","some college","none","married","never",1,1,1,"> 10",79,77,82,79
"9509","male","Asiática","associate's degree","none","married","sometimes",0,1,0,"5 - 10",73,77,67,72
"9511","male","Negra","high school","none","married","sometimes",0,1,1,"> 10",81,78,63,74
"9514","male","Hispana","high school","none","married","sometimes",0,0,1,"< 5",63,70,63,65
"9515","male","Caucásica","high school","none","married","regularly",0,0,1,"> 10",68,65,61,65
"9516","male","Caucásica","some college","none","married","sometimes",1,1,1,"> 10",57,57,54,56
"9518","male","Asiática","associate's degree","none","divorced","sometimes",0,1,0,"5 - 10",71,65,59,65
"9519","male","Hispana","associate's degree","completed","married","regularly",1,1,0,"5 - 10",96,99,98,98
"9520","male","Asiática","some college","completed","divorced","regularly",1,1,1,"> 10",75,75,72,74
"9521","male","Americana","high school","none","married","regularly",0,1,1,"5 - 10",52,41,37,43
"9522","female","Caucásica","some college","none","single","sometimes",1,1,1,"< 5",65,68,65,66
"9525","male","Caucásica","associate's degree","none","divorced","sometimes",0,1,1,"5 - 10",87,88,88,88
"9526","female","Asiática","high school","none","married","sometimes",1,1,1,"> 10",38,49,43,43
"9527","female","Asiática","high school","completed","married","sometimes",0,0,1,"5 - 10",48,60,52,53
"9528","male","Asiática","master's degree","completed","married","sometimes",0,1,1,"5 - 10",87,87,90,88
"9530","male","Negra","some college","none","married","regularly",0,1,1,"5 - 10",61,48,47,52
"9531","male","Asiática","bachelor's degree","none","single","sometimes",1,1,0,"5 - 10",86,72,73,77
"9534","male","Asiática","master's degree","none","single","sometimes",0,1,1,"5 - 10",63,67,70,67
"9535","male","Asiática","high school","completed","married","sometimes",0,0,0,"5 - 10",67,63,62,64
"9536","male","Hispana","some high school","completed","married","sometimes",1,1,0,"5 - 10",75,77,78,77
"9538","female","Negra","associate's degree","none","single","sometimes",0,0,0,"5 - 10",80,85,86,84
"9539","female","Asiática","some high school","completed","divorced","sometimes",0,1,0,"5 - 10",78,85,77,80
"9540","female","Caucásica","high school","none","married","regularly",0,1,1,"< 5",75,78,78,77
"9542","male","Hispana","bachelor's degree","none","married","regularly",0,1,0,"< 5",80,86,85,84
"9543","female","Americana","bachelor's degree","completed","married","sometimes",0,1,0,"< 5",71,95,95,87
"9545","female","Caucásica","some college","none","married","sometimes",0,1,1,"< 5",68,69,63,67
"9546","female","Hispana","high school","none","married","never",0,0,1,"> 10",29,40,33,34
"9547","male","Asiática","associate's degree","none","single","regularly",1,1,0,"5 - 10",64,69,66,66
"9549","female","Hispana","some college","none","single","sometimes",1,1,0,"5 - 10",58,62,61,60
"9551","female","Negra","some college","none","married","sometimes",1,1,0,"< 5",66,74,76,72
"9553","female","Asiática","high school","none","single","sometimes",0,1,1,"5 - 10",85,91,87,88
"9554","female","Negra","master's degree","none","single","sometimes",0,1,0,"> 10",59,68,72,66
"9558","male","Caucásica","some high school","completed","single","sometimes",1,1,1,"< 5",92,80,79,84
"9559","male","Hispana","some high school","none","single","never",0,0,0,"5 - 10",49,47,39,45
"9562","male","Negra","master's degree","none","married","sometimes",1,1,1,"> 10",96,85,79,87
"9563","male","Caucásica","some college","none","married","never",0,1,0,"5 - 10",77,65,63,68
"9565","male","Caucásica","some college","none","single","regularly",0,1,0,"5 - 10",63,53,48,55
"9566","male","Hispana","high school","completed","single","sometimes",1,1,0,"> 10",51,55,58,55
"9567","female","Hispana","associate's degree","none","single","never",0,1,0,"5 - 10",69,76,66,70
"9568","female","Hispana","high school","none","married","never",0,1,0,"5 - 10",50,63,61,58
"9569","male","Negra","high school","completed","married","sometimes",0,1,0,"> 10",58,61,58,59
"9571","female","Asiática","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",89,95,100,95
"9572","male","Asiática","high school","none","married","sometimes",1,1,0,"5 - 10",72,73,68,71
"9573","female","Asiática","high school","none","single","regularly",0,1,1,"< 5",39,53,59,50
"9574","female","Caucásica","associate's degree","none","married","sometimes",0,0,1,"5 - 10",62,67,65,65
"9575","male","Caucásica","high school","none","married","never",1,1,1,"< 5",72,73,58,68
"9576","female","Americana","some college","completed","divorced","regularly",0,1,1,"5 - 10",41,48,48,46
"9577","female","Hispana","some high school","none","married","never",0,0,1,"5 - 10",48,57,58,54
"9578","male","Hispana","some college","none","married","regularly",0,1,0,"5 - 10",41,40,45,42
"9579","male","Caucásica","some high school","completed","married","regularly",0,0,0,"5 - 10",67,60,63,63
"9580","female","Hispana","some high school","none","divorced","regularly",0,1,0,"> 10",45,57,52,51
"9581","female","Negra","associate's degree","none","divorced","sometimes",0,0,1,"< 5",55,70,60,62
"9583","male","Asiática","high school","none","widowed","never",0,1,1,"< 5",71,62,59,64
"9584","female","Asiática","associate's degree","completed","married","regularly",0,1,1,"> 10",74,85,95,85
"9585","female","Negra","some college","none","single","never",0,1,0,"> 10",62,66,63,64
"9586","female","Negra","high school","none","married","sometimes",1,1,0,"> 10",47,54,57,53
"9589","female","Caucásica","some college","none","married","sometimes",0,1,0,"5 - 10",81,83,82,82
"9590","female","Hispana","bachelor's degree","completed","married","regularly",0,1,0,"> 10",85,99,100,95
"9593","male","Caucásica","some high school","none","married","regularly",0,1,0,"5 - 10",39,28,26,31
"9594","male","Americana","some high school","none","single","sometimes",0,1,1,"< 5",41,34,24,33
"9595","female","Caucásica","bachelor's degree","none","married","sometimes",0,0,1,"5 - 10",62,60,63,62
"9596","female","Hispana","high school","none","married","never",1,1,1,"5 - 10",64,69,68,67
"9600","male","Negra","bachelor's degree","none","married","regularly",0,1,0,"> 10",68,61,58,62
"9601","male","Negra","associate's degree","none","married","regularly",1,1,0,"5 - 10",50,43,37,43
"9602","male","Asiática","some high school","none","married","regularly",1,1,0,"< 5",58,62,55,58
"9603","female","Hispana","some college","none","divorced","regularly",0,1,1,"< 5",55,65,66,62
"9605","male","Asiática","master's degree","completed","single","regularly",0,1,0,"5 - 10",91,91,97,93
"9610","male","Asiática","some high school","none","single","regularly",0,1,0,"> 10",38,41,33,37
"9611","female","Asiática","high school","completed","married","sometimes",1,1,1,"5 - 10",60,75,71,69
"9612","female","Hispana","some high school","completed","divorced","regularly",0,1,0,"5 - 10",47,55,63,55
"9613","male","Caucásica","high school","none","married","regularly",0,1,1,"5 - 10",72,69,58,66
"9617","female","Hispana","high school","none","married","regularly",1,1,0,"> 10",65,74,69,69
"9618","female","Americana","some college","none","single","sometimes",1,1,0,"> 10",71,89,84,81
"9619","male","Asiática","some college","completed","divorced","regularly",0,1,1,"> 10",45,36,41,41
"9620","male","Asiática","master's degree","none","single","never",0,0,1,"> 10",59,73,65,66
"9621","female","Negra","some college","completed","married","regularly",0,1,0,"< 5",85,98,100,94
"9626","female","Negra","some high school","none","divorced","never",1,1,1,"> 10",52,63,58,58
"9627","male","Asiática","some high school","none","divorced","regularly",0,1,1,"> 10",68,61,56,62
"9628","male","Asiática","some college","none","married","sometimes",1,1,1,"5 - 10",78,74,68,73
"9632","female","Asiática","some college","none","married","regularly",0,1,0,"5 - 10",69,72,72,71
"9635","female","Negra","high school","none","married","sometimes",0,1,0,"5 - 10",60,62,69,64
"9636","male","Asiática","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",80,65,70,72
"9637","male","Asiática","some college","none","single","sometimes",0,1,1,"5 - 10",65,69,59,64
"9638","female","Caucásica","some high school","completed","single","regularly",1,1,0,"5 - 10",80,80,84,81
"9639","male","Asiática","some college","none","married","regularly",0,1,0,"< 5",75,66,66,69
"9640","male","Asiática","some high school","none","single","regularly",0,1,0,"5 - 10",59,58,52,56
"9643","male","Asiática","bachelor's degree","none","married","sometimes",0,1,1,"< 5",65,62,57,61
"9644","female","Hispana","master's degree","completed","married","regularly",1,1,0,"> 10",52,64,73,63
"9645","female","Americana","some college","none","married","regularly",1,1,0,"5 - 10",51,70,67,63
"9646","female","Hispana","some college","none","single","sometimes",0,1,0,"< 5",59,54,49,54
"9647","male","Asiática","some high school","none","married","sometimes",0,1,0,"5 - 10",60,59,54,58
"9648","male","Hispana","bachelor's degree","completed","married","sometimes",0,1,0,"5 - 10",94,88,96,93
"9649","female","Negra","some college","none","married","regularly",1,1,0,"5 - 10",50,59,62,57
"9650","female","Negra","some college","none","widowed","never",0,1,1,"> 10",79,95,87,87
"9652","female","Negra","bachelor's degree","none","married","never",0,1,0,"5 - 10",84,83,85,84
"9655","female","Asiática","associate's degree","completed","single","regularly",0,1,0,"5 - 10",74,82,86,81
"9656","male","Americana","associate's degree","none","divorced","never",0,0,1,"5 - 10",85,79,70,78
"9657","male","Negra","some high school","none","married","never",0,1,0,"5 - 10",58,61,61,60
"9658","female","Caucásica","some college","none","single","regularly",1,1,0,"5 - 10",94,98,96,96
"9659","female","Asiática","some college","none","married","sometimes",0,1,1,"5 - 10",63,66,67,65
"9660","male","Hispana","associate's degree","completed","married","sometimes",0,0,1,"< 5",62,74,73,70
"9661","female","Caucásica","some high school","none","married","regularly",0,1,0,"5 - 10",67,81,78,75
"9663","male","Hispana","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",87,77,79,81
"9664","female","Hispana","associate's degree","none","single","regularly",0,1,0,"< 5",52,57,63,57
"9665","female","Asiática","associate's degree","none","married","sometimes",0,0,1,"> 10",45,57,49,50
"9666","female","Negra","associate's degree","none","married","regularly",0,1,0,"5 - 10",43,49,54,49
"9669","female","Asiática","some college","completed","married","sometimes",0,1,0,"5 - 10",66,69,76,70
"9670","female","Hispana","some college","none","married","never",0,1,1,"< 5",78,87,86,84
"9672","male","Negra","some college","completed","married","sometimes",0,1,1,"5 - 10",66,70,67,68
"9674","female","Asiática","associate's degree","completed","single","regularly",0,1,1,"< 5",78,93,93,88
"9675","male","Asiática","bachelor's degree","completed","married","sometimes",1,1,0,"< 5",56,54,60,57
"9676","male","Negra","some high school","none","married","sometimes",0,0,1,"> 10",61,63,56,60
"9677","male","Negra","high school","completed","single","regularly",1,1,0,"< 5",78,73,72,74
"9681","female","Americana","high school","none","divorced","sometimes",0,0,0,"< 5",28,34,31,31
"9683","female","Asiática","high school","completed","married","regularly",0,0,0,"5 - 10",62,85,84,77
"9684","male","Asiática","some high school","completed","married","sometimes",0,1,1,"5 - 10",64,57,57,59
"9686","female","Negra","some high school","completed","single","regularly",0,1,1,"< 5",67,81,85,78
"9689","male","Caucásica","associate's degree","none","single","never",0,1,0,"> 10",86,72,72,77
"9690","male","Negra","some college","completed","married","sometimes",0,1,1,"5 - 10",80,75,75,77
"9693","female","Asiática","some high school","completed","single","sometimes",0,1,0,"< 5",35,51,44,43
"9697","female","Asiática","associate's degree","completed","married","regularly",0,1,0,"< 5",77,82,86,82
"9698","female","Caucásica","master's degree","none","married","regularly",1,1,0,"< 5",77,80,79,79
"9699","male","Negra","bachelor's degree","none","single","sometimes",0,1,1,"> 10",91,95,81,89
"9700","female","Americana","some college","none","married","never",1,1,0,"< 5",61,66,68,65
"9703","female","Asiática","some college","completed","single","regularly",1,1,1,"5 - 10",56,72,77,68
"9704","male","Hispana","some college","completed","married","regularly",1,1,1,"5 - 10",80,77,76,78
"9705","female","Hispana","associate's degree","none","married","regularly",0,0,0,"< 5",60,68,75,68
"9706","male","Hispana","some college","none","married","regularly",0,0,0,"5 - 10",35,30,32,32
"9707","male","Americana","high school","completed","married","sometimes",0,1,0,"< 5",63,74,70,69
"9709","male","Asiática","some college","none","married","regularly",0,1,1,"< 5",52,42,46,47
"9710","female","Negra","bachelor's degree","none","divorced","sometimes",0,1,0,"> 10",74,73,73,73
"9711","male","Hispana","some college","completed","widowed","sometimes",0,1,0,"> 10",85,80,82,82
"9712","male","Asiática","master's degree","completed","single","sometimes",0,1,1,"> 10",67,67,64,66
"9713","male","Caucásica","associate's degree","none","single","sometimes",1,1,0,"< 5",95,91,88,91
"9715","male","Asiática","bachelor's degree","none","married","sometimes",1,1,0,"< 5",60,62,55,59
"9716","female","Hispana","some high school","none","married","sometimes",0,1,1,"5 - 10",63,65,73,67
"9717","female","Asiática","associate's degree","none","single","regularly",0,1,1,"> 10",78,84,87,83
"9718","female","Hispana","some high school","none","married","never",0,1,0,"> 10",46,58,60,55
"9720","female","Asiática","some college","none","single","sometimes",1,1,0,"> 10",53,72,66,64
"9728","female","Asiática","some high school","none","single","regularly",0,0,1,"< 5",63,73,71,69
"9730","female","Americana","associate's degree","none","single","regularly",0,1,1,"< 5",71,80,83,78
"9732","female","Asiática","some college","none","married","sometimes",0,0,0,"5 - 10",55,58,57,57
"9734","male","Asiática","high school","none","widowed","never",0,1,0,"< 5",51,49,36,45
"9735","female","Asiática","bachelor's degree","none","married","never",1,1,0,"< 5",77,88,83,83
"9738","male","Asiática","master's degree","none","married","sometimes",1,1,1,"5 - 10",51,44,44,46
"9740","female","Americana","some college","completed","married","sometimes",0,0,0,"5 - 10",57,65,64,62
"9741","female","Negra","high school","none","single","regularly",0,1,0,"> 10",63,71,70,68
"9742","female","Hispana","master's degree","completed","married","regularly",0,1,0,"5 - 10",69,81,83,78
"9743","female","Asiática","associate's degree","completed","married","regularly",0,0,0,"5 - 10",54,76,74,68
"9744","female","Caucásica","some high school","completed","married","sometimes",0,1,0,"< 5",70,75,75,73
"9745","male","Hispana","bachelor's degree","none","married","regularly",1,1,1,"5 - 10",48,39,37,41
"9746","male","Negra","high school","completed","married","sometimes",0,1,0,"5 - 10",41,37,37,38
"9747","female","Negra","high school","none","divorced","sometimes",0,0,1,"5 - 10",50,53,53,52
"9748","male","Negra","some high school","completed","single","sometimes",0,1,0,"5 - 10",79,78,71,76
"9749","female","Hispana","some college","completed","single","sometimes",0,1,0,"5 - 10",74,88,90,84
"9751","female","Asiática","associate's degree","none","married","regularly",0,1,1,"> 10",73,90,90,84
